user_id,movie_id,rating,timestamp,title,primary_genre
661,357,4,876014469,One Flew Over the Cuckoo's Nest (1975),drama
524,12,3,884634646,"Usual Suspects, The (1995)",crime
303,1153,3,879484899,Backbeat (1993),drama
217,300,4,889069555,Air Force One (1997),action
360,654,5,880355715,Chinatown (1974),film-noir
434,1152,5,886724633,In Love and War (1996),romance
270,213,5,876955067,"Room with a View, A (1986)",drama
692,208,4,876953340,Young Frankenstein (1974),comedy
393,265,4,887746301,"Hunt for Red October, The (1990)",action
421,79,4,892241459,"Fugitive, The (1993)",action
85,289,3,879452334,Evita (1996),drama
758,892,2,883190434,Flubber (1997),children
594,319,3,874780864,Everyone Says I Love You (1996),comedy
487,300,5,883441026,Air Force One (1997),action
416,515,5,893214041,"Boot, Das (1981)",action
195,433,3,878019342,Heathers (1989),comedy
479,475,1,879460028,Trainspotting (1996),drama
477,451,5,875941763,Grease (1978),comedy
537,633,3,886031342,"Christmas Carol, A (1938)",drama
381,212,5,892696982,"Unbearable Lightness of Being, The (1988)",drama
881,596,3,876536241,"Hunchback of Notre Dame, The (1996)",animation
781,294,1,879633862,Liar Liar (1997),comedy
455,343,4,882141285,Alien: Resurrection (1997),action
240,307,4,885775683,"Devil's Advocate, The (1997)",crime
883,209,3,891694311,This Is Spinal Tap (1984),comedy
524,493,4,884638025,"Thin Man, The (1934)",mystery
835,928,3,891032899,"Craft, The (1996)",drama
667,275,4,891035084,Sense and Sensibility (1995),drama
301,1028,5,882074801,Grumpier Old Men (1995),comedy
474,322,4,888627937,Murder at 1600 (1997),mystery
17,245,2,885166209,"Devil's Own, The (1997)",action
890,404,4,882915696,Pinocchio (1940),animation
620,63,5,889988232,"Santa Clause, The (1994)",children
58,246,5,884304592,Chasing Amy (1997),drama
880,110,3,880175128,Operation Dumbo Drop (1995),action
363,204,2,891495402,Back to the Future (1985),comedy
387,295,3,886480818,Breakdown (1997),action
65,328,4,879216131,Conspiracy Theory (1997),action
100,268,3,891374982,Chasing Amy (1997),drama
294,926,3,877819713,Down Periscope (1996),comedy
927,56,4,879184534,Pulp Fiction (1994),crime
370,322,3,879434308,Murder at 1600 (1997),mystery
932,191,4,891249620,Amadeus (1984),drama
130,761,3,876251650,Nick of Time (1995),action
1,41,2,876892818,Billy Madison (1995),comedy
918,1137,5,891986999,Beautiful Thing (1996),drama
864,132,5,888887128,"Wizard of Oz, The (1939)",adventure
755,328,4,882569881,Conspiracy Theory (1997),action
327,523,4,887818800,Cool Hand Luke (1967),comedy
925,682,4,884717586,I Know What You Did Last Summer (1997),horror
921,274,4,879379971,Sabrina (1995),comedy
99,105,2,885679353,Sgt. Bilko (1996),comedy
60,153,3,883326733,"Fish Called Wanda, A (1988)",comedy
72,1,4,880035614,Toy Story (1995),animation
474,525,4,887925837,"Big Sleep, The (1946)",film-noir
303,1222,3,879468513,Judgment Night (1993),action
5,181,5,875635757,Return of the Jedi (1983),action
7,309,3,891350704,Deceiver (1997),crime
23,479,5,874785728,Vertigo (1958),mystery
405,451,5,885547360,Grease (1978),comedy
524,693,5,884636562,Casino (1995),drama
279,52,3,890780576,"Madness of King George, The (1994)",drama
201,213,4,884111873,"Room with a View, A (1986)",drama
707,496,3,886286433,It's a Wonderful Life (1946),drama
796,173,5,892662483,"Princess Bride, The (1987)",action
455,291,3,879109984,Absolute Power (1997),mystery
527,628,3,879456289,Sleepers (1996),crime
887,13,1,881378928,Mighty Aphrodite (1995),comedy
682,627,4,888523171,Robin Hood: Prince of Thieves (1991),drama
501,1014,4,883348543,Romy and Michele's High School Reunion (1997),comedy
896,300,2,887157234,Air Force One (1997),action
487,121,4,883444832,Independence Day (ID4) (1996),action
751,402,3,889298216,Ghost (1990),comedy
429,238,5,882384526,Raising Arizona (1987),comedy
374,310,5,880392237,"Rainmaker, The (1997)",drama
518,1028,3,876824266,Grumpier Old Men (1995),comedy
296,309,1,884196209,Deceiver (1997),crime
13,795,2,882399219,Richie Rich (1994),children
268,135,4,875309583,2001: A Space Odyssey (1968),drama
479,584,3,879461873,"Secret Garden, The (1993)",children
829,129,4,881712252,Bound (1996),crime
244,537,5,880602593,My Own Private Idaho (1991),drama
901,95,4,877131685,Aladdin (1992),animation
727,250,5,883709242,"Fifth Element, The (1997)",action
622,284,1,882590670,Tin Cup (1996),comedy
380,315,4,885477975,Apt Pupil (1998),drama
792,25,2,877909892,"Birdcage, The (1996)",comedy
655,1232,3,887472606,Madonna: Truth or Dare (1991),documentary
296,11,5,884197131,Seven (Se7en) (1995),crime
683,270,3,893283049,Gattaca (1997),drama
795,576,2,883254780,Cliffhanger (1993),action
72,664,3,880037020,"Paris, Texas (1984)",drama
313,230,3,891015049,Star Trek IV: The Voyage Home (1986),action
455,269,4,878585250,"Full Monty, The (1997)",comedy
313,102,3,891030189,"Aristocats, The (1970)",animation
766,198,4,891310210,Nikita (La Femme Nikita) (1990),thriller
634,1067,4,875729069,Bottle Rocket (1996),comedy
684,734,3,878762302,Made in America (1993),comedy
59,95,2,888204758,Aladdin (1992),animation
535,686,5,879617489,"Perfect World, A (1993)",action
378,231,3,880333327,Batman Returns (1992),action
634,313,5,884980565,Titanic (1997),action
393,926,4,887745200,Down Periscope (1996),comedy
655,236,3,887426407,Citizen Ruth (1996),comedy
623,153,3,891034757,"Fish Called Wanda, A (1988)",comedy
389,1286,5,880087873,Shall We Dance? (1937),comedy
110,1182,2,886989566,Cops and Robbersons (1994),comedy
436,47,4,887769930,Ed Wood (1994),comedy
144,318,5,888105419,Schindler's List (1993),drama
463,225,3,877385489,101 Dalmatians (1996),children
60,604,4,883327997,It Happened One Night (1934),comedy
274,280,1,878946162,Up Close and Personal (1996),drama
727,510,4,883710717,"Magnificent Seven, The (1954)",action
489,327,5,891448409,Cop Land (1997),crime
265,151,2,875320661,Willy Wonka and the Chocolate Factory (1971),adventure
778,226,4,890670638,Die Hard 2 (1990),action
250,748,2,878089033,"Saint, The (1997)",action
73,683,2,888792535,Rocket Man (1997),comedy
343,38,3,876406257,"Net, The (1995)",sci-fi
655,1196,3,888984325,"Savage Nights (Nuits fauves, Les) (1992)",drama
481,648,5,885828165,"Quiet Man, The (1952)",comedy
822,101,2,891037465,Heavy Metal (1981),action
887,1283,5,881378896,Out to Sea (1997),comedy
46,307,3,883611430,"Devil's Advocate, The (1997)",crime
630,717,3,885667661,"Juror, The (1996)",drama
279,482,4,875306613,Some Like It Hot (1959),comedy
552,123,3,879222033,"Frighteners, The (1996)",comedy
666,492,4,880139252,East of Eden (1955),drama
152,33,5,882475924,Desperado (1995),action
898,302,4,888294567,L.A. Confidential (1997),crime
347,282,5,881652590,"Time to Kill, A (1996)",drama
216,12,5,881432544,"Usual Suspects, The (1995)",crime
580,282,5,884125292,"Time to Kill, A (1996)",drama
19,310,4,885412063,"Rainmaker, The (1997)",drama
674,289,2,887763151,Evita (1996),drama
454,286,3,881958782,"English Patient, The (1996)",drama
681,292,4,885409883,Rosewood (1997),drama
619,56,3,885953992,Pulp Fiction (1994),crime
536,73,4,882360894,Maverick (1994),action
198,31,3,884207897,Crimson Tide (1995),drama
380,118,2,885480301,Twister (1996),action
625,678,3,891262561,Volcano (1997),drama
328,317,4,885046976,In the Name of the Father (1993),drama
684,401,3,878762302,"Brady Bunch Movie, The (1995)",comedy
271,729,4,885848996,Nell (1994),drama
624,689,3,891961187,"Jackal, The (1997)",action
733,286,4,879535471,"English Patient, The (1996)",drama
367,5,4,876689991,Copycat (1995),crime
159,1014,4,884027206,Romy and Michele's High School Reunion (1997),comedy
892,230,4,886609793,Star Trek IV: The Voyage Home (1986),action
916,281,3,880843727,"River Wild, The (1994)",action
313,441,3,891029964,"Amityville Horror, The (1979)",horror
290,216,4,880475218,When Harry Met Sally... (1989),comedy
231,181,4,888605273,Return of the Jedi (1983),action
872,300,5,888478766,Air Force One (1997),action
85,215,4,879829438,Field of Dreams (1989),drama
224,893,3,888082350,For Richer or Poorer (1997),comedy
541,234,5,883874433,Jaws (1975),action
99,111,1,885678886,"Truth About Cats & Dogs, The (1996)",comedy
424,538,5,880858861,Anastasia (1997),animation
254,15,3,886471307,Mr. Holland's Opus (1995),drama
387,650,2,886480163,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",drama
835,458,4,891032869,Nixon (1995),drama
