movie_id,title,primary_genre
1,Toy Story (1995),animation
2,GoldenEye (1995),action
3,Four Rooms (1995),thriller
4,Get Shorty (1995),action
5,Copycat (1995),crime
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),drama
7,Twelve Monkeys (1995),drama
8,Babe (1995),children
9,Dead Man Walking (1995),drama
10,Richard III (1995),drama
11,Seven (Se7en) (1995),crime
12,"Usual Suspects, The (1995)",crime
13,Mighty Aphrodite (1995),comedy
14,"Postino, Il (1994)",drama
15,Mr. Holland's Opus (1995),drama
16,French Twist (Gazon maudit) (1995),comedy
17,From Dusk Till Dawn (1996),action
18,"White Balloon, The (1995)",drama
19,Antonia's Line (1995),drama
20,Angels and Insects (1995),drama
21,Muppet Treasure Island (1996),action
22,Braveheart (1995),action
23,Taxi Driver (1976),drama
24,Rumble in the Bronx (1995),action
25,"Birdcage, The (1996)",comedy
26,"Brothers McMullen, The (1995)",comedy
27,Bad Boys (1995),action
28,Apollo 13 (1995),action
29,Batman Forever (1995),action
30,Belle de jour (1967),drama
31,Crimson Tide (1995),drama
32,Crumb (1994),documentary
33,Desperado (1995),action
34,"Doom Generation, The (1995)",comedy
35,Free Willy 2: The Adventure Home (1995),adventure
36,Mad Love (1995),drama
37,Nadja (1994),drama
38,"Net, The (1995)",sci-fi
39,Strange Days (1995),action
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",comedy
41,Billy Madison (1995),comedy
42,Clerks (1994),comedy
43,Disclosure (1994),drama
44,Dolores Claiborne (1994),drama
45,Eat Drink Man Woman (1994),comedy
46,Exotica (1994),drama
47,Ed Wood (1994),comedy
48,Hoop Dreams (1994),documentary
49,I.Q. (1994),comedy
50,Star Wars (1977),action
51,Legends of the Fall (1994),drama
52,"Madness of King George, The (1994)",drama
53,Natural Born Killers (1994),action
54,Outbreak (1995),action
55,"Professional, The (1994)",crime
56,Pulp Fiction (1994),crime
57,Priest (1994),drama
58,Quiz Show (1994),drama
59,Three Colors: Red (1994),drama
60,Three Colors: Blue (1993),drama
61,Three Colors: White (1994),drama
62,Stargate (1994),action
63,"Santa Clause, The (1994)",children
64,"Shawshank Redemption, The (1994)",drama
65,What's Eating Gilbert Grape (1993),comedy
66,While You Were Sleeping (1995),comedy
67,Ace Ventura: Pet Detective (1994),comedy
68,"Crow, The (1994)",action
69,Forrest Gump (1994),comedy
70,Four Weddings and a Funeral (1994),comedy
71,"Lion King, The (1994)",animation
72,"Mask, The (1994)",comedy
73,Maverick (1994),action
74,Faster Pussycat! Kill! Kill! (1965),action
75,Brother Minister: The Assassination of Malcolm X (1994),documentary
76,Carlito's Way (1993),crime
77,"Firm, The (1993)",drama
78,Free Willy (1993),adventure
79,"Fugitive, The (1993)",action
80,Hot Shots! Part Deux (1993),action
81,"Hudsucker Proxy, The (1994)",comedy
82,Jurassic Park (1993),action
83,Much Ado About Nothing (1993),comedy
84,Robert A. Heinlein's The Puppet Masters (1994),horror
85,"Ref, The (1994)",comedy
86,"Remains of the Day, The (1993)",drama
87,Searching for Bobby Fischer (1993),drama
88,Sleepless in Seattle (1993),comedy
89,Blade Runner (1982),film-noir
90,So I Married an Axe Murderer (1993),comedy
91,"Nightmare Before Christmas, The (1993)",children
92,True Romance (1993),action
93,Welcome to the Dollhouse (1995),comedy
94,Home Alone (1990),children
95,Aladdin (1992),animation
96,Terminator 2: Judgment Day (1991),action
97,Dances with Wolves (1990),adventure
98,"Silence of the Lambs, The (1991)",drama
99,Snow White and the Seven Dwarfs (1937),animation
100,Fargo (1996),crime
101,Heavy Metal (1981),action
102,"Aristocats, The (1970)",animation
103,All Dogs Go to Heaven 2 (1996),animation
